patent_id,patent_abstract,patent_title,cpc_subclass
11213473,"A composition to improve hyperpigmentation is disclosed. The composition has one or more active ingredients such as tranexamic acid, niacinamide, arbutin, and Vitamin C. The composition has water, caprylic/capric triglyceride, C12-15 Alkyl Benzoate, Isononyl Isononanoate, Silica, Glyceryl Stearate and PEG-100 Stearate, Cetearyl Alcohol and Ceteareth-20, Xylitylglucoside and Anhydroxylitol and Xylitol, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Polysorbate 60, Phenoxyethanol and Ethylhexylglycerin, Citric Acid, Titanium Dioxide, Citrus oil, sh-Polypeptide-22, and sh-Oligopeptide-1. The composition is a non-HQ formulation that provides equal or greater efficacy with a reduced adverse reaction profile to improve skin hyperpigmentation, such as melasma, post-inflammatory hyperpigmentation, and solar lentigines. The composition reduces skin damage and provides toning to the skin.",Skin brightening composition,A61Q
11213474,"The application describes a cosmetic agent for temporary deformation of keratinic fibers. The cosmetic agent includes, in a cosmetically acceptable carrier, a) at least one copolymer A formed from at least one monomer A1 selected from acrylic acid and/or methacrylic acid and at least one monomer A2 selected from acrylic acid esters and/or methacrylic acid esters, b) at least one cationic polymer B different from copolymer A selected from cationic guar derivatives, c) at least one polymer C different from copolymer A and polymer B, selected from cationic cellulose derivatives, and d) at least one propellant.",Cosmetic agent for temporary deformation of keratinic fibers using polymer combination II,A61Q
11213475,"A method and system for a multi-layer peelable nail cosmetic compositions are disclosed. The multi-layer system includes a water-washable, non-UV curable nail basecoat composition in a hand-held, non-pressurized container. The basecoat composition includes a hydrophilic poly(N-vinyl)lactam polymer, at least one alcohol, and at least one plasticizer. The multi-layer system also includes a colored non-UV curable nail colorcoat composition that includes a primary film former, a secondary film former, a plasticizer, and a colorant.",Multi-layer peelable nail polish,A61Q
11213476,"The application describes a cosmetic method for the chemical treatment of keratinic fibers, in which      The damage to the keratinic fibers due to the oxidizing and/or reducing agents can be reduced by using the special pretreatment agent.","Method for gentle, chemical hair treatment",A61Q
11213477,"The present invention relates to a cosmetic composition comprising an extract from Inonotus obliquus (Chaga) and in particular to a cosmetic composition comprising: (i) a chaga extract at a concentration of at least about 2.5 mg/ml; and (ii) one or more physiologically or pharmaceutically acceptable excipients and/or diluents, wherein the chaga extract comprises at least about 1% (w/w) of β-glucans and/or at least about 0.10% (w/w) of polyphenolics.",Cosmetic composition comprising a Chaga extract and use thereof,A61Q
11213478,"The disclosure provides compositions and methods for promoting hair growth and reducing hair loss using bioactive extracts of curcumin, Withania somnifera, and saw palmetto. Tocotrienols, tocopherols, piperine extract, low molecular weight collagen, and hyaluronic acid are optionally included in the compositions and methods",Compositions and methods for hair regrowth,A61Q
11213479,"The present invention relates to a novel cosmetic or dermatological composition for topical or oral use, comprising at least one passionflower extract, at least edelweiss callus cells, and at least one physiologically acceptable support, to a non-therapeutic cosmetic skin treatment process using such a cosmetic composition, and also to the non-therapeutic use of such a cosmetic composition for protecting the skin against environmental attack, preventing, retarding and/or combating the signs of ageing of the skin.","Cosmetic composition comprising a passionflower extract and edelweiss cells, and uses",A61Q
11213487,"A method for manufacturing a negatively charged supported lipid bilayer. The method comprises the steps of preparing a formulation comprising at least three lipids (1,2-dioleoyl-sn-glycero-3-phospho-L-serine (DOPS), cholesterol and at least one lipid different from DOPS and cholesterol) dissolved in a first solvent, of evaporating the first solvent, of adding an aqueous formulation of mesoporous silica nanoparticles, of performing an ultra-sonication and of performing a centrifugation. The method is remarkable in that the number of equivalents of cholesterol relative to one equivalent of DOPS is comprised between 2.30 and 2.70. Additionally, negatively charged supported lipid bilayer on a mesoporous silica nanoparticle comprising cholesterol, 1,2-dioleoyl-sn-glycero-3-phospho-L-serine (DOPS) and at least one lipid different from DOPS and cholesterol.","Negatively charged self-assembling supported lipid bilayer on mesoporous silica nanoparticles, method of synthesis and use as a nanovector",A61Q
11213503,"The invention concerns antimicrobial compositions comprising free fatty acids emulsified with membrane lipids or hydrolysed derivatives thereof, and pharmaceutical formulations comprising same. The compositions can be used in the treatment of prophylaxis of microbial infections. They can also regulate the rate of blood clotting rendering them suitable for incorporation in catheter locking solutions and for use in wound care.",Antimicrobial compositions containing free fatty acids,A61Q
11213513,"Provided herein are methods of accelerating, promoting, or restoring hair growth, comprising administering to a subject in need thereof an effective amount of a compound of formula (I). Also provided are compositions comprising the compound of formula (I).",Compositions and methods for promoting hair growth with Mpc1 inhibitors,A61Q
11213567,"A zinc-alpha-2-glycoprotein (ZAG) protein-derived peptide according to the present invention shows an expression reducing effect of various immune factors shown in acute or chronic atopic dermatitis, and has a decreased immune response and decreased IgE expression and thus may be used to prevent, treat or improve xeroderma or an abnormal skin barrier function such as atopic dermatitis, an allergic disease or inflammation.",ZAG-derived peptide and use thereof,A61Q
11213569,"Topical formulations containing erythropoietin (EPO), and also preferably fibronectin (FN), especially gel formulations, are used to accelerate wound healing, e.g., from a burn, compared to the healing process without such a formulation being applied. Methods of preparing the formulations are also provided.",Topical erythropoietin formulations and methods for improving wound healing with and cosmetic use of the formulations,A61Q
11214558,"The present disclosure relates to a novel method for synthesizing DHPV, and more particularly, to a novel method for synthesizing DHPV (5-(3′,4′-dihydroxyphenyl)-γ-valerolactone)) which is a major metabolite of cacao. This method has the advantage of not only facilitating a large-scale synthesis by a new synthesis method that can overcome existing defects, but also making it easy to select antioxidants and isomers exhibiting anti-aging bioactivities. Therefore, it is effective in enabling mass production of DHPV having high value as a functional material for cosmetics and pharmaceuticals in a simple and economical manner.",Synthesis method of DHPV,A61Q
11214609,"This disclosure provides non-naturally occurring collagen and elastin molecules. The non-naturally occurring collagens and elastins include truncated collagens, truncated elastins, as well as fusion proteins thereof. The non-naturally occurring collagen and elastin are useful in foods, cosmetics and many other products and uses.",Recombinant collagen and elastin molecules and uses thereof,A61Q
11214652,"This organic group-modified organosilicon resin is represented by the average composition formula (1). (R13SiO1/2)a(R23SiO1/2)b(R33SiO1/2)c(R12SiO2/2)d(R1SiO3/2)e(SiO4/2)f  (1) [a, b, c, d, e and f are numbers that satisfy 0≤a≤400, 0<b≤200, 0≤c≤400, 0≤d≤320, 0≤e≤320, 0<f≤1,000, and 0.5≤(a+b+c)/f≤1.5.] Because this organic group-modified organosilicon resin can form films softer than those formed with trimethylene siloxysilicate, the cosmetic obtained by blending with said silicon resin feels good when used, has good cosmetic holding properties, spreads easily and has an excellent finish, easy removal, and superior scratch resistance.","Organic group-modified organosilicon resin, production method thereof, and cosmetic",A61Q
11214653,"Disclosed are solid or semisolid compositions the including finely divided particles and a water-soluble matrix that dissolves and disperses the particles when in contact with water. Also disclosed are kits for reducing and/or inhibiting odor formation on garment. The kit include one or more containers, wherein at least one of the one or more container includes solid or semisolid compositions the including finely divided particles and a water-soluble matrix that dissolves and disperses the particles when in contact with water. An edible silver delivery system including the compositions is disclosed as are methods of delivering silver to a subject in need thereof.",Water-soluble solid or semi-solid dispersion of particles,A61Q
11214902,"An absorbent material, such as a non-woven web or a tissue paper, includes continuous filaments and short fibers, the short fibers including natural and/or synthetic fibers or staple fibers. The absorbent material exhibits an absorbency speed of equal to or less than 2 s and a weight loss when washed of equal to or less than 5%. The absorbent material can be incorporated into a wipe.",Absorbent material,A61Q
11219208,"A composition that can solvate biofilms and disrupt bacterial cell walls acts to both kill the bacteria by cell lysis and remove the biofilm. This solvent-containing composition is effective against a broad spectrum of microbes and can be used on a variety of surfaces, both living and inanimate. The polarity of the solvent component of the composition is lower than that of pure water so that the composition exhibits increased efficacy in solvating the macromolecular matrix of a biofilm and in penetrating bacterial cell walls.",High osmolarity antimicrobial composition containing one or more organic solvents,A61Q
11219230,"The present invention primarily relates to novel mixtures with stabilizing properties, particularly for avoiding, reducing or delaying the formation of sensorially undesired flavours and/or tastes in oxidative degradation processes or autoxidative processes or reducing, avoiding or delaying oxidative processes in one or more oxidation-sensitive compounds, particularly autoxidative processes, their use in specific preparations as well as novel preparations and methods of producing such preparations. Additionally, herein described are methods for decreasing, avoiding or delaying the formation of sensorially undesired flavours and/or tastes in oxidative degradation processes or autoxidative processes or for decreasing, avoiding or delaying oxidative processes in one or more oxidation-sensitive compounds, particularly autoxidative processes.",Mixtures with stabilising properties,A61Q
11219291,"The invention relates to a false nail comprising at least: one front layer (12) forming the body of the false nail (1), and a rear layer (11) of an adhesive material for attaching the body of the false nail to a natural nail. The rear layer (11) is formed by a fast-drying polymer adhesive with desiccating capacity, and the front layer (12) is made of a composite material and comprises at least a first layer (12a) of micro-hybrid composite with low contraction capacity in contact with the polymer adhesive. The invention also relates to a method for shaping the false nail on a natural nail and the use of composite material to shape same.",False nail and method for shaping same on a natural nail,A61Q
11219580,"The present invention provides a mouthwash composition comprising a heterogeneous gel, wherein said heterogeneous gel comprises at least two gelling agents and two or more active ingredients, and wherein the composition provides the differential release of the active ingredients over a period of time.",Oral composition,A61Q
11219581,The method for making a nanoemulsion is described. The method uses a neutralized fatty acid and does not require traditional surfactant in order to yield stable nanoemulsion having a diameter from 70 to 550 nm.,Nanoemulsions with neutralized fatty acid and a method producing the same,A61Q
11219582,"The present invention is a formable dental treatment tray utilizing poly(2-ethyl-2-oxazoline) and a gelatinous active. Blending of the active is accomplished by mixing the Poly(2-ethyl-2-oxazoline) with an active ingredient, such as a peroxide like hydrogen peroxide, carbamide peroxide, sodium perborate, or sodium percarbonate, usually also with water or an appropriate organic solvent. Peroxide concentrations in these new gels can reach a 30% concentration of hydrogen peroxide while maintaining a shelf life of six months at room temperature without developing peroxide decomposition. The gels are applied to an appropriate backing and dried to a gelatinous state. In use, the active is hydrated and regains adhesiveness. Then the tray is pressed and formed around a user's dental arch to form the customizable tray. Multiple active ingredients may be used, with or without peroxide, for accomplishing desired treatment regimens.",Peroxide gel composition,A61Q
11219583,A composition for removing nail polish includes a propylene glycol methyl ether; and a C2-C3 monoalcohol. The C2-C3 monoalcohol and the propylene glycol methyl ether are present in a C2-C3 monoalcohol to propylene glycol methyl ether ratio by weight from about 1:1 to about 20:1. Methods for removing nail polish are also provided.,Compositions comprising alcohol-rich mixtures of alcohol and propylene glycol methyl ethers,A61Q
11219584,"Cosmetic agents for the temporary color change of keratinous surfaces, in particular human hair and human skin, contain an alcohol having 2 to 8 carbon atoms, a special anionic polymer, and a pigment. These cosmetic agents have an extremely good water resistance but can be removed without residue with a single application of surfactant-containing detergents. In addition, methods of temporary staining keratinous fibers and the skin using these agents are provided.",Water-resistant cosmetic means for temporarily changing the color of keratin-containing materials I,A61Q
11219585,"The invention is a cosmetic or dermatological preparation and the use thereof, said preparation comprising a combination of a) glycoprotein 1, b) glycoprotein 2, ginseng extract and d) equisetum extract, to protect the skin against extrinsic skin aging.",Protection against extrinsic skin aging,A61Q
11219586,"Provided herein are compositions for delivering one or more cannabinoids to the skin of a subject and methods of using the compositions to deliver the one or more cannabinoids to the skin of a subject. The compositions contain a carrier that facilitates the delivery and permeation of cannabinoids to and through the skin. The carriers of the compositions contain squalane or mixtures of squalane and hemisqualane. The compositions described herein may serve as the base for the preparation of various cosmetics or various pharmaceuticals. The cosmetics or pharmaceuticals may be used to reduce inflammation, control pain, or prevent aging of the skin of a subject.",Compositions and methods for delivering cannabinoids to skin,A61Q
11219587,"An agent for dyeing keratin fibers comprises a composition A comprising at least one alkalizing agent, at least one oxidative dye precursor, at least one surfactant and at least one fatty substance free of carboxylic acid groups and a composition B comprising at least one oxidizing agent and at least one surfactant. The concentration of fatty substances free of carboxylic acid groups after mixing composition A and composition B is at least 20% by weight relative to the total weight of the mixed composition A and B. The concentration of alkalizing agent after mixing composition A and composition B is not more than 1.75% by weight relative to the total weight of the mixed composition A and B.",Composition for lightening or dyeing keratin fibers with a low amount of alkalizing agent,A61Q
11219588,"The present disclosure provides a method of inducing or promoting darkening of the skin and/or melanogenesis, a method of treating a skin condition or disorder, in particular hypopigmentation, comprising administration of a polycationic aliphatic amine, wherein said polycationic aliphatic amine preferably is putrescine, spermidine and spermine. The invention further includes corresponding methods of reducing or preventing darkening of skin and/or melanogenesis, or related methods of treating a skin condition or disorder, comprising administration of at least an inhibitor of polycationic aliphatic amine transport or synthesis, wherein said inhibitor is preferably trimer44NMe or difluoromethylornithine (DFMO) respectively.",Use of polyamines in compositions and methods for inducing or promoting skin darkening and regulating melanogenesis,A61Q
11219589,"The invention provides a method of strengthening the fibres of oxidatively-treated hair, the method comprising the sequential steps of: (i) washing the oxidatively-treated hair; (ii) soaking the washed hair in an aqueous treatment composition, and (iii) drying the soaked hair; characterised in that the aqueous treatment composition comprises at least 1% N-acetyl glycine (by weight based on the total weight of the composition).15 The invention also provides the use of an aqueous treatment composition comprising at least 1% N-acetyl glycine (by weight based on the total weight of the composition), for the enhanced strengthening of oxidatively-treated hair fibres relative to virgin hair fibres.",Method of strengthening oxidatively-treated hair,A61Q
11219590,PROBLEM: To provide an anti-aging agent and a method for the anti-aging that are safe in long-term intake and ensures effective suppression of the progress of the aging.SOLUTION: Nicotinamide mononucleotide is contained as an active ingredient.,Anti-aging agent and anti-aging method,A61Q
11219591,"The present invention relates to an ear-cleansing agent for companion animals and a method of manufacturing the same. More particularly, the present invention relates to an ear-cleansing agent for companion animals, which includes distilled Chamaecyparis obtusa water extracted from Chamaecyparis obtusa trees so as to enable antibacterial action, deodorization, and exfoliation and which does not include a surfactant so that the skin is not irritated even when the ear-cleansing agent is not washed away using water, and a method of manufacturing the same.",Ear-cleansing agent for companion animals and method of manufacturing the same,A61Q
11219592,"A topical composition including an extract of Allium species, an extract of Citrus species, an extract of Paullinia species and an extract of Theobroma species is used for improving and/or increasing and/or stimulating and/or promoting and/or inducing the pigmentation of hair and/or hairs.",Use of a composition for the pigmentation of hair and hairs,A61Q
11219593,"The present invention relates to a yarrow fresh plant press juice concentrate and a gentle method for its manufacture. The yarrow fresh plant press juice concentrate is used in cosmetic compositions, pharmaceutical compositions, food compositions or food supplements. This invention also relates to new aspects of the use of yarrow. The invention provides the use of yarrow to stimulate the expression of heat shock proteins and/or antimicrobial peptides in skin cells. It also describes the use of yarrow to increase the thermal tolerance of the skin.","Yarrow fresh-plant pressed juice concentrate, production, and use",A61Q
11219632,"An object of the present invention is to provide a material which can be safely ingested and which inhibits skin pigmentation. Therefore, the invention is a skin pigmentation inhibitor, containing a β-nicotinamide mononucleotide or a pharmaceutically acceptable salt thereof; and a solvate thereof as an active ingredient; a health supplement which contains the skin pigmentation inhibitor and is ingested to inhibit skin pigmentation; and a method for inhibiting skin pigmentation, including ingesting the skin pigmentation inhibitor.",Skin pigmentation inhibitor,A61Q
11219647,Described herein are compositions composed of micronized placental components and pharmaceutical compositions thereof. The compositions have numerous medical applications. Methods for making and using the micronized compositions are also described herein.,Micronized placental tissue compositions and methods of making and using the same,A61Q
11219650,"An object of the present invention is to provide an agent for preventing or treating small intestinal injury induced by an NSAID with a half-life of less than 14 hours and a proton pump inhibitor. The present invention provides an agent for preventing or treating small intestinal injury induced by a non-steroidal anti-inflammatory drug with a half-life of less than 14 hours and a proton pump inhibitor, and an agent for preventing or treating a fat-associated disease and/or inflammation accompanying the small intestinal injury, the agents comprising a Bifidobacterium bacterium or a processed product thereof.",Agent for preventing or treating small intestinal injury induced by specific NSAID and PPI,A61Q
11219653,"The specification relates to a composition for enhancing immunity, comprising a ginseng berry polysaccharide as an active ingredient. The composition can increase the expression of cytokines such as IL-6, IL-12, and TNF-α by using ingredients derived from natural products. In addition, the composition can exhibit excellent immunity enhancement effects because of the unique components and structure of a ginseng berry polysaccharide.","Composition for enhancing immunity, containing ginseng berry polysaccharides",A61Q
11219687,"A system and method of applying a slick surface, such as silicone epoxy, is applied on a vertical wall (on or around the perimeter of a structure), as a means of preventing (bark) scorpions (or other insects/arachnids) from climbing up walls. The system is intended, in part, to keep the Arizona bark scorpions out of homes. Vertical surface areas around the home are treated with a material such as silicone. A clear silicone epoxy, that when dry, prevents scorpions from climbing vertically up into a home or structure. This non-toxic epoxy is applied to the base of a home, including door thresholds, steps or other parts of a home which makes contact with the ground. The epoxy is applied to the area by sprayer.",Scorpion repel surface treatments and method for same,A61Q
11219717,"The present invention relates to a prefilled plastic container, such as a plastic syringe, comprising an aqueous botulinum toxin formulation. The aqueous botulinum toxin formulation in the prefilled plastic container is stable for a prolonged time period. Furthermore, the present invention relates to a kit comprising the prefilled plastic container, and to the use of the prefilled plastic container for therapeutic and cosmetic purposes.",Botulinum toxin prefilled plastic syringe,A61Q
11220114,"A skin printing solution system includes a skin printing device that provides a user with a skin printing solution user interface including an online art gallery, a skin printing server that provides the online art gallery to the skin printing device, and a skin printer that outputs a tattoo image received from the skin printing device to a print region. Herein, when the user selects a tattoo image through the skin printing solution user interface, the skin printing device receives the selected tattoo image from the skin printing server and transmits the received tattoo image to the skin printer. In addition, the online art gallery includes multiple tattoo images, and the print region is the skin of the user or a different user.","Skin printing solution system, skin printing device, skin printer and image printing method therefor, image providing method and device therefor, and two-component ink for skin print and manufacturing method therefor",A61Q
11220491,"The present invention relates to compounds, compositions, and methods for modulating skin pigmentation and treating or preventing UV-induced skin damage, erythema, aging of the skin, sunburn, and hyperpigmentation in a subject. The compounds, compositions, and methods of the present invention generally involve Malassezia-derived compounds, including malassezin and indirubin, and/or chemical analogs thereof. Other applications of the compounds and compositions disclosed herein include, but are not limited to, improving hyperpigmentation caused by a hyperpigmentation disorder, inducing melanocyte apoptosis, and modulating arylhydrocarbon receptor (AhR) activity, melanogenesis, melanin production, melanosome biogenesis, melanosome transfer, melanocyte activity, and melanin concentration.",Photoprotective compositions containing Malassezia-derived compounds and/or chemical analogs thereof,A61Q
11220521,"A novel compound has pharmacological activities comparable to those of Nahlsgen and is storable excellently stably. The compound can be produced by a method according to the present invention for producing an optically active 2-amino-phosphonoalkanoic acid salt. In the method, a starting material DL-2-amino-phosphonoalkanoic acid represented by Formula (1) or a hydrate thereof is reacted with an optically active basic compound other than an optically active lysine, to give a diastereomeric salt mixture including a first salt (including a hydrate salt) between a D-2-amino-phosphonoalkanoic acid represented by Formula (1-1) and the optically active basic compound, and a second salt (including a hydrate salt) between an L-2-amino-phosphonoalkanoic acid represented by Formula (1-2) and the optically active basic compound. The diastereomeric salt mixture is fractionally crystallized to isolate one of the first and second diastereomeric salts.","Optically-active 2-amino-phosphonoalkane acid, optically-active 2-amino-phosphonoalkane acid salt, and hydrates of these",A61Q
11220585,"Hollow particles each having a shell composed of at least one layer, wherein the at least one layer contains a nitrogen atom-containing resin having a refractive index of 1.57 or less.",Hollow particles and use of same,A61Q
11220597,"A method of making a bijel includes dispersing surface-active nanoparticles in a ternary liquid mixture. The ternary liquid mixture includes a hydrophilic liquid, a hydrophobic liquid, and a solvent. The ternary liquid mixture is contacted with water. A bijel includes a stable mixture of two immiscible liquids separated by an interfacial layer of colloidal particles. The bijel has temperature-independent stability, and the domain sizes are below one micrometer.",Bijels and methods of making the same,A61Q
11220661,"A bar soap composition is made from ingredients comprising: at least one cleanser chosen from soap and a first surfactant; and at least one taurate surfactant chosen from a salt of a fatty acid amide of taurine, a salt of a fatty acid amide of N-methyl taurine, and combinations thereof. The taurate surfactant is different than the first surfactant. The composition is in a solid bar form. Other personal care and home care products that include the taurate surfactants are also disclosed.",Compositions comprising taurate surfactants and methods of using the compositions,A61Q
11220787,"A fine cellulose fiber-containing substance that has excellent dispersibility in water and can be manufactured easily. A method is for manufacturing the fine cellulose fiber-containing substance, and a method is for manufacturing a fine cellulose fiber dispersion. A fine cellulose fiber-containing substance contains fine cellulose fibers into which a phosphite containing a cation of an inorganic substance is introduced. The ratio of the cation of the inorganic substance with respect to 1 g of the fine cellulose fibers is 0.14 mmol or more. In manufacturing the fine cellulose fiber-containing substance, a phosphite is introduced into cellulose fibers, and then the cellulose fibers are defibrated to obtain a dispersion containing fine cellulose fibers, during which an alkali metal ion-containing substance is added to the cellulose fibers, and the dispersion is concentrated. In manufacturing a fine cellulose fiber dispersion, the fine cellulose fiber-containing substance is mixed with water.","Fine cellulose fiber-containing substance, method for manufacturing the same, and fine cellulose fiber dispersion",A61Q
11222715,"A method of creating nutritional supplements including the steps of obtaining a customer's nutrient deficiency, calculating an ionic supplement composition based on the underlying element composition of the delivery product and the deficiency information, and mixing the ionic elements in dehydrated form with an appropriate liquid suspension.",Method of creating nutritional supplements,A61Q
11224220,"The present invention relates to a surfactant composition based on glycine betaine amide salt and also to the process for preparing the same. The invention also relates to the use thereof as a wetting agent, particle dispersant and/or corrosion inhibitor and/or for improving the disinfectant power and/or the persistence of the disinfectant effect of antimicrobial substances and/or the insecticide effect and/or the persistence of insecticidal substances, and also in the manufacture of various products intended for treating and/or cleansing the body, plants or hard surfaces, for water treatment or for oil extraction. The invention also relates to a product comprising the abovementioned composition.","Surfactant composition based on glycine betaine amide salts, process for preparing same and uses thereof",A61Q
11224222,"What is described herein is a stable and reduced-yellowing/non-yellowing synergistic preservative composition comprising: (i) about 0.1 wt. % to about 40 wt. % of dehydroacetic acid (DHA); and about 0.1 wt. % to about 99.9 wt. % of at least one aprotic solvent. Also described herein are aqueous and non-aqueous based preservative compositions for various end-user applications, and processes for preparing and using such compositions to reduce yellowing of DHA when added to the end-user applications.",Synergistic compositions of dehydroacetic acid and methods for reducing yellowing in various end-user compositions,A61Q
11224558,"This invention relates to xanthohumol-based compositions, yielded in a hot-melt extrusion process (HME) using one or more water-soluble nutritionally and/or cosmetically acceptable thermoplastic polymers, such as selected from hydroxypropylmethyl-cellulose (HPMC), a vinylpyrrolidone-vinyl acetate copolymer, and combinations thereof. The present invention also relates to topical and oral formulations comprising such extruded xanthohumol-based compositions, as well as the use of one or more water-soluble nutritionally and/or cosmetically acceptable thermoplastic polymers in a hot-melt extrusion process of xanthohumol.",Xanthohumol-based compositions,A61Q
11224559,"Disclosed are compositions for solubilizing and/or removing a hair styling aid composition from hair. The compositions comprise at least one active solvent, wherein the active solvent is a glycol or an ester; and a carrier composition comprising a liquid vehicle. Also disclosed are methods for solubilizing and/or removing hair styling aids from hair.",Compositions and methods for removing hair styling aids,A61Q
11224560,"The present invention relates to a composition, preferably a cosmetic composition for a keratin substance, preferably skin, comprising: (a) at least one associative thickener; (b) at least one specific alkyleneoxide derivative; (c) at least one nonionic surfactant, other than (b), with an HLB value of 13.0 or less; and (d) water. The composition according to the present invention can prevent soaping and can provide excellent texture, when used, while providing sufficient thickening or gelling effects.",Composition comprising an associative thickener,A61Q
11224561,"The present invention relates to a skin cleansing composition which can sufficiently exhibit an excellent keratotic plug-removing effect without a burden such as pain and irritation on the skin. A skin cleansing composition comprises 0.08 mass % or more and 35 mass % or less of (X) 2-amino-2-methyl-1,3-propanediol and has a pH of 8.5 or more and 12.5 or less at 25° C.",Skin cleansing composition,A61Q
11224562,The present invention relates to a topical composition. The present invention more particularly relates to a topical composition for antimicrobial benefit and a method of disinfecting a surface. According to the invention there is provided a topical composition comprising: a) 0.1 to 10% by weight of Niacinamide or its derivatives; b) 0.01% to 5% by weight of a first quaternary ammonium salt comprising Didecyl Dimethyl Ammonium Chloride; c) 0.01 to 5% by weight of a second quaternary ammonium salt; and d) a cosmetically acceptable base.,Topical antimicrobial composition,A61Q
11224563,"The present invention relates to topical composition comprising a cetyl phosphate surfactant mixture consisting essentially of mono- and/or dicetyl esters of phosphoric acid or salts thereof and cetylalcohol and inorganic phosphate and heavy metals and water, characterized in that the surfactant mixture contains no organochlorine impurities and has an inorganic phosphate content of less than 0.7 wt.-% and a heavy metal content of less than 12 ppm.",Topical compositions,A61Q
